spotify_track_id,title,artist,album,release_date,popularity,duration_ms,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,sentiment_score,genres
2n6FX3Jcg4b4Leoz0GOqBF,Wherever You Will Go,The Calling,Camino Palmero,2001,69,208506,112,72,56,37,4,0,12,3,-5 dB,0.1293487407267093,
1vxw6aYJls2oq3gW0DujAo,Crazy,Gnarls Barkley,St. Elsewhere,2007-12-01,82,177933,112,74,84,61,2,6,8,3,-2 dB,0.119223705596394,
3husjxyCMBvNeiTEcrpPSe,Unfaithful,Rihanna,A Girl Like Me,2006-04-10,0,224629,144,39,59,35,84,0,23,3,-9 dB,-0.0219561772850843,
5ROeX4Hi9XoBT5hmBR1xra,Summer Of '69,Bryan Adams,Reckless,1984-01-01,0,216973,139,83,51,77,2,0,7,4,-6 dB,0.1219050871001349,
7kw6yVmdZGuRcWGi4adXYT,Take Me Out,Franz Ferdinand,Franz Ferdinand,2004,0,239026,105,66,28,53,0,0,14,4,-9 dB,-0.2940960754366482,
2cKCSngj4rdMI9K1deFJOe,Rockstar,Nickelback,All the Right Reasons,2005-09-26,53,255520,144,91,62,69,5,0,34,4,-3 dB,0.20494964654031,
1yslmgUcM2AOkOPS4sl3QV,Bohemian Rhapsody,Queen,A Night At The Opera,1975-11-21,0,355106,144,40,39,23,29,0,24,5,-10 dB,-0.0749132956596131,
3m6KkYKdnbffMpGd9Pm9FP,Seven Nation Army,The White Stripes,Elephant,2003-04-01,6,231920,124,45,74,28,0,12,34,7,-8 dB,0.0770188443086765,
0rkzM1FJh4xWCTF1NwDGYN,Better Together,Jack Johnson,In Between Dreams,2005-01-01,0,207680,110,35,87,66,31,0,11,5,-10 dB,0.0384751669269927,
3yP0cohcr97BUNJcgvmSVg,The Passenger,Iggy Pop,Lust For Life,1977-09-09,2,284066,135,89,50,70,9,0,73,5,-5 dB,0.264284032334884,
4nUM7pGcTUK2pY1d2LybrT,Best of You,Foo Fighters,Best Of You,2005-05-30,0,256600,130,94,37,37,0,0,19,7,-5 dB,0.2166924017374633,
